time,EngineState,MotorSpeed,Bat,Ie,Power,MotorTemp,InvTemp,PCodeActive,EthtDeg,Enc485Pos,Enc6825Pos,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
7-5_15:40:27.2016908,3,1813,139.03,17.8672,2.4746,29.22,250,0,263,0,65535,0,0,0,0,0,0,0,0,133.52,32.86,15.8438,20.0547,69,6,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:27.4700430,3,1788,137.83,17.0547,2.3789,29.25,250,0,356,0,65535,0,0,0,0,0,0,0,0,133.8,32.66,22.4297,19.3906,69,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:27.7402506,3,1796,137.39,16.3359,2.2842,29.3,250,0,37,0,65535,0,0,0,0,0,0,0,0,134.16,33.3,15.8672,17.4922,69,0,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:28.0235532,3,1791,138.11,16.3359,2.3047,29.39,250,0,144,0,65535,0,0,0,0,0,0,0,0,134.53,31.81,22.3281,21.2734,69,5,-144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:28.2768975,3,1816,138.55,16.5938,2.2734,29.43,250,0,152,0,65535,0,0,0,0,0,0,0,0,135.08,32.52,22.3359,20.5781,69,1,-152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:28.5471279,3,1783,138.27,16.8203,2.291,29.48,250,0,266,0,65535,0,0,0,0,0,0,0,0,135.38,32.33,15.8438,20.6406,69,3,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:28.8164059,3,1790,135.38,16.6641,2.2832,29.57,250,0,23,0,65535,0,0,0,0,0,0,0,0,135.94,33.19,14.0469,15.4844,69,0,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:29.0856896,3,1797,137.69,17.8359,2.4502,29.62,250,0,101,0,65535,0,0,0,0,0,0,0,0,136.11,31.83,15.4219,22.2656,69,-3,-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:29.3697822,3,1756,135.52,17.75,2.458,29.65,250,0,310,0,65535,0,0,0,0,0,0,0,0,136.06,31.39,14.6562,24.375,69,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:29.6240942,3,1677,128.58,17.0781,2.1084,29.69,250,0,196,0,65535,0,0,0,0,0,0,0,0,134.7,28.59,17.9062,18.9922,70,3,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:29.9093445,3,1558,119.7,17.4375,2.25,29.75,250,0,340,0,65535,0,0,0,0,0,0,0,0,131.89,27.05,16.0312,25.6016,70,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
